,Song,Artist,Country,Year,Language,Grand Final Place,Grand Final Points,Semifinal,Semifinal Place,Semifinal Points
610,Hullu yö,Kaija Kärkinen,Finland,1991,['Finnish'],20.0,6.0,,,
611,C'est le dernier qui a parlé qui a raison,Amina,France,1991,['French'],2.0,146.0,,,
612,Dieser Traum darf niemals sterben,Atlantis 2000,Germany,1991,['German'],18.0,10.0,,,
613,I anixi(Η άνοιξη),Sophia Vossou,Greece,1991,['Greek'],13.0,36.0,,,
614,Nína,Stefán & Eyfi,Iceland,1991,['Icelandic'],15.0,26.0,,,
615,Could It Be That I'm In Love,Kim Jackson,Ireland,1991,['English'],10.0,47.0,,,
616,Kan (כאן),Duo Datz,Israel,1991,['Hebrew'],3.0,139.0,,,
617,Comme è ddoce 'o mare,Peppino di Capri,Italy,1991,['Neapolitan'],7.0,89.0,,,
618,Un baiser volé,Sarah Bray,Luxembourg,1991,['French'],14.0,29.0,,,
619,Could It Be,Georgina & Paul Giordimaina,Malta,1991,['English'],6.0,106.0,,,
620,Mrs. Thompson,Just 4 Fun,Norway,1991,['Norwegian'],17.0,14.0,,,
621,Lusitana paixão,Dulce Pontes,Portugal,1991,['Portuguese'],8.0,62.0,,,
622,Bailar pegados,Sergio Dalma,Spain,1991,['Spanish'],4.0,119.0,,,
623,Fångad av en stormvind,Carola,Sweden,1991,['Swedish'],1.0,146.0,,,
624,Canzone per te,Sandra Simó,Switzerland,1991,['Italian'],5.0,118.0,,,
625,İki Dakika,"İzel Çeliköz, Reyhan Karaca & Can Uğurluer",Turkey,1991,['Turkish'],12.0,44.0,,,
626,A Message to Your Heart,Samantha Janus,United Kingdom,1991,['English'],10.0,47.0,,,
627,Brazil (Бразил),Baby Doll,Yugoslavia,1991,['Serbo-Croatian'],21.0,1.0,,,
628,Zusammen geh'n,Tony Wegas,Austria,1992,['German'],10.0,63.0,,,
629,"Nous, on veut des violons",Morgane,Belgium,1992,['French'],20.0,11.0,,,
630,Teriazoume (Ταιριάζουμε),Evridiki,Cyprus,1992,['Greek'],11.0,57.0,,,
631,Alt det som ingen ser,Kenny Lübcke & Lotte Nilsson,Denmark,1992,['Danish'],12.0,47.0,,,
632,"Yamma, yamma",Pave Maijanen,Finland,1992,['Finnish'],23.0,4.0,,,
633,Ljubim te pesmama (Љубим те песмама),Extra Nena,Yugoslavia,1992,['Serbo-Croatian'],13.0,44.0,,,
634,Monté la riviè,Kali,France,1992,"['French', 'Antillean Creole']",8.0,73.0,,,
635,Träume sind für alle da,Wind,Germany,1992,['German'],16.0,27.0,,,
636,Olou tou kosmou i Elpida (Όλου του κόσμου η Ελπίδα),Cleopatra,Greece,1992,['Greek'],5.0,94.0,,,
637,Nei eða já,Heart 2 Heart,Iceland,1992,['Icelandic'],7.0,80.0,,,
638,Why Me?,Linda Martin,Ireland,1992,['English'],1.0,155.0,,,
639,Ze Rak Sport (זה רק ספורט),Dafna Dekel,Israel,1992,['Hebrew'],6.0,85.0,,,
640,Rapsodia,Mia Martini,Italy,1992,['Italian'],4.0,111.0,,,
641,Sou fräi,Marion Welter & Kontinent,Luxembourg,1992,['Luxembourgish'],21.0,10.0,,,
642,Little Child,Mary Spiteri,Malta,1992,['English'],3.0,123.0,,,
643,Wijs me de weg,Humphrey Campbell,Netherlands,1992,['Dutch'],9.0,67.0,,,
644,Visjoner,Merethe Trøan,Norway,1992,['Norwegian'],18.0,23.0,,,
645,Amor d'água fresca,Dina,Portugal,1992,['Portuguese'],17.0,26.0,,,
646,Todo esto es la música,Serafín,Spain,1992,['Spanish'],14.0,37.0,,,
647,I morgon är en annan dag,Christer Björkman,Sweden,1992,['Swedish'],22.0,9.0,,,
648,Mister Music Man,Daisy Auvray,Switzerland,1992,['French'],15.0,32.0,,,
649,Yaz Bitti,Aylin Vatankoş,Turkey,1992,['Turkish'],19.0,17.0,,,
650,One Step Out of Time,Michael Ball,United Kingdom,1992,['English'],2.0,139.0,,,
651,Maria Magdalena,Tony Wegas,Austria,1993,['German'],14.0,32.0,,,
652,Iemand als jij,Barbara Dex,Belgium,1993,['Dutch'],25.0,3.0,,,
653,Sva bol svijeta,Fazla,Bosnia and Herzegovina,1993,['Serbo-Croatian'],16.0,27.0,,,
654,Don't Ever Cry,Put,Croatia,1993,"['Croatian', 'English']",15.0,31.0,,,
655,Mi stamatas (Μη σταματάς),Zimboulakis & Van Beke,Cyprus,1993,['Greek'],19.0,17.0,,,
656,Under stjernerne på himlen,Tommy Seebach Band,Denmark,1993,['Danish'],22.0,9.0,,,
657,Tule luo,Katri Helena,Finland,1993,['Finnish'],17.0,20.0,,,
658,Mama Corsica,Patrick Fiori,France,1993,"['French', 'Corsican']",4.0,121.0,,,
659,Viel zu weit,Münchener Freiheit,Germany,1993,['German'],18.0,18.0,,,
660,"Ellada, hora tou fotos (Ελλάδα, χώρα του φωτός)",Katerina Garbi,Greece,1993,['Greek'],9.0,64.0,,,
661,Þá veistu svarið,Inga,Iceland,1993,['Icelandic'],13.0,42.0,,,
662,In Your Eyes,Niamh Kavanagh,Ireland,1993,['English'],1.0,187.0,,,
663,Shiru (שירו),Lahakat Shiru,Israel,1993,"['Hebrew', 'English']",24.0,4.0,,,
664,Sole d'Europa,Enrico Ruggeri,Italy,1993,['Italian'],12.0,45.0,,,
665,Donne-moi une chance,Modern Times,Luxembourg,1993,"['French', 'Luxembourgish']",20.0,11.0,,,
666,This Time,William Mangion,Malta,1993,['English'],8.0,69.0,,,
667,Vrede,Ruth Jacott,Netherlands,1993,['Dutch'],6.0,92.0,,,
668,Alle mine tankar,Silje Vige,Norway,1993,['Norwegian'],5.0,120.0,,,
669,A cidade (até ser dia),Anabela,Portugal,1993,['Portuguese'],10.0,60.0,,,
670,Tih deževen dan,1X Band,Slovenia,1993,['Slovene'],22.0,9.0,,,
671,Hombres,Eva Santamaría,Spain,1993,['Spanish'],11.0,58.0,,,
672,Eloise,Arvingarna,Sweden,1993,['Swedish'],7.0,89.0,,,
673,"Moi, tout simplement",Annie Cotton,Switzerland,1993,['French'],3.0,148.0,,,
674,Esmer Yarim,Burak Aydos,Turkey,1993,['Turkish'],21.0,10.0,,,
675,Better the Devil You Know,Sonia,United Kingdom,1993,['English'],2.0,164.0,,,
676,Für den Frieden der Welt,Petra Frey,Austria,1994,['German'],17.0,19.0,,,
677,Ostani kraj mene,Alma & Dejan,Bosnia and Herzegovina,1994,['Bosnian'],15.0,39.0,,,
678,Nek' ti bude ljubav sva,Tony Cetinski,Croatia,1994,['Croatian'],16.0,27.0,,,
679,Ime anthropos ki ego (Είμαι άνθρωπος κι εγώ),Evridiki,Cyprus,1994,['Greek'],11.0,51.0,,,
680,Nagu merelaine,Silvi Vrait,Estonia,1994,['Estonian'],24.0,2.0,,,
681,Bye Bye Baby,CatCat,Finland,1994,"['Finnish', 'English']",22.0,11.0,,,
682,Je suis un vrai garçon,Nina Morato,France,1994,['French'],7.0,74.0,,,
683,Wir geben 'ne Party,MeKaDo,Germany,1994,['German'],3.0,128.0,,,
684,To trehandiri (Το τρεχαντήρι),Kostas Bigalis & The Sea Lovers,Greece,1994,['Greek'],14.0,44.0,,,
